,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
395,0 <= ... < 200 DM,39,delay in paying off in the past,(vacation - does not exist?),11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
396,< 0 DM,12,existing credits paid back duly till now,radio/television,2578,... < 100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,55,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
397,< 0 DM,36,critical account/ other credits existing (not at this bank),radio/television,2348,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,46,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
398,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1223,... < 100 DM,.. >= 7 years,1,male : divorced/separated,none,1,real estate,46,none,rent,2,skilled employee / official,1,none,yes
399,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,1516,.. >= 1000 DM ,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,43,none,own,2,unskilled - resident,1,none,yes
400,no checking account,18,existing credits paid back duly till now,domestic appliances,1473,... < 100 DM,... < 1 year ,3,male : married/widowed,none,4,real estate,39,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
401,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1,none,yes
402,no checking account,24,delay in paying off in the past,business,8648,... < 100 DM,... < 1 year ,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
403,no checking account,14,delay in paying off in the past,car (new),802,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes
404,0 <= ... < 200 DM,18,delay in paying off in the past,car (new),2899,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,skilled employee / official,2,none,yes
405,0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,2039,... < 100 DM,... < 1 year ,1,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
406,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2197,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes
407,< 0 DM,15,existing credits paid back duly till now,domestic appliances,1053,... < 100 DM,... < 1 year ,4,male : married/widowed,none,2,real estate,27,none,own,1,skilled employee / official,1,none,no
408,no checking account,24,existing credits paid back duly till now,domestic appliances,3235,500 <= ... < 1000 DM ,.. >= 7 years,3,male : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
409,>= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM ,4 <= ... < 7 years,4,male : married/widowed,none,2,real estate,28,none,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes
410,0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,1967,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
411,no checking account,33,critical account/ other credits existing (not at this bank),car (used),7253,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
412,no checking account,12,critical account/ other credits existing (not at this bank),business,2292,... < 100 DM,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",42,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
413,no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= ... < 1000 DM ,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,40,none,rent,1,unskilled - resident,2,none,no
414,< 0 DM,24,existing credits paid back duly till now,car (new),1381,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,yes
415,no checking account,36,critical account/ other credits existing (not at this bank),car (used),5842,... < 100 DM,.. >= 7 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes
416,< 0 DM,12,existing credits paid back duly till now,car (new),2579,... < 100 DM,... < 1 year ,4,male : single,none,1,real estate,33,none,own,1,unskilled - resident,2,none,yes
417,< 0 DM,18,delay in paying off in the past,(vacation - does not exist?),8471,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes
418,no checking account,21,existing credits paid back duly till now,car (new),2782,500 <= ... < 1000 DM ,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
419,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes
420,no checking account,15,existing credits paid back duly till now,car (new),3186,.. >= 1000 DM ,4 <= ... < 7 years,2,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
421,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes
422,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),958,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,47,none,own,2,unskilled - resident,2,none,yes
423,no checking account,21,delay in paying off in the past,radio/television,1591,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
424,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2762,unknown/ no savings account,.. >= 7 years,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,25,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
425,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),2779,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
426,no checking account,28,critical account/ other credits existing (not at this bank),domestic appliances,2743,... < 100 DM,.. >= 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,none,yes
427,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,1149,.. >= 1000 DM ,1 <= ... < 4 years,4,male : single,none,3,real estate,46,none,own,2,skilled employee / official,1,none,yes
428,no checking account,9,existing credits paid back duly till now,radio/television,1313,... < 100 DM,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,none,yes
429,< 0 DM,18,critical account/ other credits existing (not at this bank),education,1190,... < 100 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,55,none,for free,3,unemployed/ unskilled - non-resident,2,none,yes
430,no checking account,5,existing credits paid back duly till now,business,3448,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,74,none,own,1,unskilled - resident,1,none,yes
431,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,11328,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
432,< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1872,... < 100 DM,unemployed,4,male : single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
433,no checking account,24,critical account/ other credits existing (not at this bank),education,2058,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
434,< 0 DM,9,existing credits paid back duly till now,radio/television,2136,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,25,none,own,1,skilled employee / official,1,none,yes
435,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1484,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
436,no checking account,6,existing credits paid back duly till now,education,660,500 <= ... < 1000 DM ,4 <= ... < 7 years,2,male : married/widowed,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes
437,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1287,.. >= 1000 DM ,.. >= 7 years,4,female : divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
